Trade ID,Entry Date,Exit Date,Days in Position,Entry Price,Stop Loss,Risk ($),Position Size,Position Value ($)
TMUS,3 Jan 2024,16 Jan 2024,13,162.51,160.3,100,45,7312.95
EAF,4 Jan 2024,31 Jan 2024,27,1.92,2.1,100,-556,1067.52
METC,10 Jan 2024,10 Jan 2024,1,22.5,21.5,100,100,2250
AGL,16 Jan 2024,22 Mar 2024,66,7.2,8,100,-125,900
APO,22 Jan 2024,23 Jan 2024,1,98,97,100,100,9800
CLS,23 Jan 2024,30 Jan 2024,7,31.04,30,100,96,2979.84
PSTG,22 Jan 2024,31 Jan 2024,9,41,40,100,100,4100
VNET,22 Jan 2024,31 Jan 2024,9,2.23,2.25,100,-5000,11150
AMAT,23 Jan 2024,24 Jan 2024,1,168.5,166,100,40,6740
BLDR,22 Jan 2024,23 Jan 2024,1,175,170,100,20,3500
NRG,23 Jan 2024,24 Jan 2024,1,52.5,52,100,200,10500
TJX,30 Jan 2024,31 Jan 2024,1,96.5,95.5,100,100,9650
KKR ,30 Jan 2024,7 Feb 2024,8,87,84.6,100,42,3654
FBP,30 Jan 2024,1 Feb 2024,2,17.3,17.1,100,500,8650
,,,,,,,,
Date,Overlapping Days per Trade,Total Capital Used on Each Day,,,,,,
3 Jan 2024,1,,,,,,,
4 Jan 2024,2,8380.47,,,,,,
5 Jan 2024,2,8380.47,,,,,,
6 Jan 2024,2,8380.47,,,,,,
7 Jan 2024,2,8380.47,,,,,,
8 Jan 2024,2,8380.47,,,,,,
9 Jan 2024,2,8380.47,,,,,,
10 Jan 2024,3,10630.47,,,,,,
11 Jan 2024,2,8380.47,,,,,,
12 Jan 2024,2,8380.47,,,,,,
13 Jan 2024,2,8380.47,,,,,,
14 Jan 2024,2,8380.47,,,,,,
15 Jan 2024,2,8380.47,,,,,,
16 Jan 2024,3,9280.47,,,,,,
17 Jan 2024,2,1967.52,,,,,,
18 Jan 2024,2,1967.52,,,,,,
19 Jan 2024,2,1967.52,,,,,,
20 Jan 2024,2,1967.52,,,,,,
21 Jan 2024,2,1967.52,,,,,,
22 Jan 2024,6,30517.52,,,,,,
23 Jan 2024,9,50737.36,,,,,,
24 Jan 2024,7,37437.36,,,,,,
25 Jan 2024,5,20197.36,,,,,,
26 Jan 2024,5,20197.36,,,,,,
27 Jan 2024,5,20197.36,,,,,,
28 Jan 2024,5,20197.36,,,,,,
29 Jan 2024,5,20197.36,,,,,,
30 Jan 2024,8,42151.36,,,,,,
31 Jan 2024,7,39171.52,,,,,,
